student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,math_score,science_score,english_score,overall_score
2001,19,other,private,phd,1.6,61.3,yes,15-30 min,yes,41.6,40.6,51.1,36.0
10949,19,other,private,post graduate,2.4,77.5,yes,>60 min,yes,44.9,59.4,45.5,48.0
9861,17,male,private,no formal,3.4,88.4,yes,30-60 min,yes,43.1,57.0,65.5,53.6
5990,17,other,public,no formal,1.8,55.3,yes,30-60 min,no,34.5,41.5,34.7,42.6
1461,18,male,public,no formal,3.4,55.2,yes,15-30 min,no,63.7,55.7,51.0,49.6
7191,16,other,public,high school,7.4,90.5,yes,<15 min,no,99.7,81.7,100.0,100.0
7141,15,other,private,high school,1.1,51.0,yes,<15 min,no,11.7,31.4,23.9,28.4
3637,17,other,private,phd,0.5,74.0,yes,>60 min,yes,24.9,29.3,20.5,25.3
10917,16,other,public,graduate,1.1,68.8,yes,<15 min,yes,41.8,23.6,33.5,36.5
4810,18,female,public,no formal,0.7,69.9,yes,<15 min,no,27.7,50.4,9.6,28.9
4179,16,other,private,graduate,7.4,97.5,yes,>60 min,yes,92.6,100.0,94.5,96.8
13457,14,other,private,graduate,2.6,56.8,yes,<15 min,no,60.4,38.3,38.5,44.0
7246,16,other,public,phd,5.0,71.9,yes,<15 min,no,80.7,64.0,61.0,75.7
6601,14,male,private,phd,2.6,80.5,yes,<15 min,yes,70.8,32.8,47.7,45.7
5998,19,female,private,graduate,1.1,70.5,yes,15-30 min,yes,34.8,26.6,38.2,35.3
2049,18,female,private,graduate,2.0,76.7,yes,15-30 min,no,42.8,53.4,46.6,47.5
12339,14,male,public,no formal,1.5,58.6,no,>60 min,yes,53.6,32.1,56.1,45.3
4781,19,male,public,diploma,5.8,55.3,yes,>60 min,yes,65.6,79.8,82.0,68.4
717,17,other,private,high school,5.7,98.1,yes,30-60 min,yes,67.2,78.8,100.0,82.2
7940,14,other,public,post graduate,4.2,93.7,yes,15-30 min,yes,60.1,64.0,57.7,69.3
5566,17,female,public,high school,2.1,87.1,yes,30-60 min,no,50.0,40.4,57.8,48.5
4545,16,male,public,no formal,3.1,83.0,yes,>60 min,no,52.7,16.2,48.2,51.4
4977,17,female,private,diploma,4.1,54.0,yes,30-60 min,no,47.3,25.8,56.4,49.3
12776,14,other,private,no formal,3.4,73.6,no,15-30 min,yes,53.4,46.5,59.4,57.8
10016,17,female,private,post graduate,5.1,58.9,yes,30-60 min,no,69.4,50.8,61.2,70.8
10274,14,male,public,high school,6.6,54.1,no,15-30 min,yes,74.6,66.2,64.1,66.0
3420,15,other,private,high school,4.3,72.4,no,30-60 min,yes,65.3,70.9,56.5,56.6
14431,19,other,public,phd,2.7,87.0,no,<15 min,yes,41.1,42.0,47.7,48.0
7240,19,other,private,diploma,4.6,99.0,yes,>60 min,yes,57.5,78.3,69.0,72.6
9767,16,other,public,graduate,6.3,80.5,no,>60 min,no,84.4,89.6,97.4,87.5
14490,16,other,private,diploma,5.0,74.5,yes,<15 min,no,100.0,76.6,90.2,79.4
250,14,female,public,high school,4.5,64.4,yes,<15 min,no,53.7,68.1,54.1,59.2
8866,18,male,private,phd,4.2,51.1,no,30-60 min,no,49.2,48.4,68.7,54.1
12726,17,female,private,diploma,4.2,78.8,yes,15-30 min,no,66.4,76.1,90.5,72.3
10358,17,male,public,high school,1.8,67.5,no,<15 min,yes,30.6,49.0,45.2,39.5
771,17,female,private,post graduate,2.1,66.5,yes,15-30 min,no,39.5,28.3,28.5,33.9
12155,17,male,private,phd,3.6,96.8,no,>60 min,no,68.9,69.1,46.1,66.2
4364,19,male,public,post graduate,5.2,83.8,yes,>60 min,yes,71.9,83.3,99.2,79.0
10177,18,female,public,high school,6.5,72.7,yes,<15 min,yes,76.1,86.4,76.6,74.8
1078,14,male,private,no formal,6.0,92.3,yes,15-30 min,no,85.4,100.0,92.8,87.4
8428,14,female,public,post graduate,6.8,89.6,yes,<15 min,no,80.9,86.3,86.2,90.1
8581,15,female,public,diploma,7.8,82.1,yes,>60 min,no,78.0,92.2,100.0,100.0
11230,17,male,public,high school,1.8,89.4,yes,30-60 min,yes,58.4,40.2,43.2,41.8
7902,16,other,private,graduate,6.9,88.5,yes,>60 min,no,89.8,94.5,93.0,87.2
4859,15,female,private,high school,4.0,71.4,yes,15-30 min,no,51.5,56.4,58.6,56.5
10041,17,other,private,phd,0.8,74.0,yes,30-60 min,yes,38.1,23.0,32.7,29.7
6545,15,male,public,phd,3.5,61.6,yes,<15 min,yes,70.1,56.1,54.7,55.8
4720,14,female,private,high school,1.6,82.4,yes,15-30 min,no,55.3,55.4,57.0,53.2
2815,15,male,public,high school,3.5,77.6,yes,>60 min,yes,70.2,77.8,80.8,64.9
3375,18,other,public,graduate,2.9,96.2,yes,15-30 min,yes,65.1,71.5,71.1,70.9
11471,16,other,public,high school,2.1,81.1,no,15-30 min,no,39.7,34.8,36.3,42.9
1253,14,female,private,graduate,2.6,68.1,yes,15-30 min,no,56.5,53.2,46.3,51.1
6997,16,male,private,post graduate,7.6,75.5,yes,30-60 min,no,98.9,98.9,100.0,99.2
12174,16,female,private,post graduate,1.7,73.5,yes,15-30 min,yes,51.4,35.6,50.7,48.1
4674,19,male,private,no formal,5.2,89.2,yes,30-60 min,yes,69.9,100.0,67.7,77.8
10315,17,male,public,high school,7.2,98.0,yes,>60 min,no,79.4,100.0,90.9,93.9
4531,14,male,private,diploma,4.9,79.3,yes,>60 min,yes,75.5,71.5,78.0,70.1
10343,19,female,private,diploma,1.0,60.4,no,15-30 min,yes,33.4,44.5,37.6,38.6
13052,19,female,private,diploma,3.0,87.3,yes,>60 min,yes,51.4,52.3,61.8,54.3
6882,15,female,private,graduate,7.8,75.5,yes,30-60 min,yes,100.0,87.8,93.0,98.2
6950,17,female,private,no formal,4.0,95.5,yes,>60 min,yes,53.6,52.7,57.8,64.0
9522,17,female,private,post graduate,4.5,95.8,yes,15-30 min,no,56.9,63.6,49.9,66.7
6242,14,female,private,no formal,6.0,89.1,yes,<15 min,no,69.2,78.5,87.6,86.0
8018,14,other,public,graduate,5.7,82.6,yes,<15 min,no,71.0,68.5,74.0,71.8
6942,16,female,public,high school,1.1,52.8,yes,15-30 min,yes,25.9,33.7,28.1,21.8
9551,18,female,public,graduate,6.6,71.6,yes,<15 min,no,77.1,69.0,86.3,80.3
7003,19,female,public,graduate,7.2,61.5,yes,>60 min,no,70.0,94.8,85.7,81.5
10675,18,female,private,diploma,1.0,54.3,yes,30-60 min,no,24.6,31.8,34.3,29.2
12735,15,female,public,diploma,4.5,55.0,yes,15-30 min,no,62.3,60.4,58.2,67.4
10210,18,male,private,post graduate,2.8,51.1,yes,30-60 min,no,39.0,43.7,48.9,42.6
1332,18,other,private,high school,6.7,94.8,yes,>60 min,no,93.0,76.7,82.2,84.6
12537,16,other,public,high school,6.6,96.2,yes,30-60 min,yes,73.2,89.3,99.9,85.7
4262,15,other,private,post graduate,7.9,60.3,yes,15-30 min,yes,82.9,86.2,95.0,81.9
7649,17,female,private,high school,4.3,98.1,yes,<15 min,yes,85.6,89.8,71.9,81.2
9551,18,female,public,graduate,6.6,71.6,yes,<15 min,no,77.1,69.0,86.3,80.3
5116,15,female,private,post graduate,8.0,95.7,yes,15-30 min,yes,94.4,79.8,100.0,100.0
4638,16,female,public,diploma,0.7,78.2,no,30-60 min,no,31.1,30.5,38.5,32.5
4855,14,other,public,diploma,7.0,65.5,no,30-60 min,no,79.6,76.9,76.2,73.1
3178,15,female,private,high school,4.6,54.1,yes,15-30 min,no,41.2,51.6,76.8,55.4
7731,17,other,public,phd,7.1,70.9,yes,<15 min,yes,79.7,78.9,66.8,82.7
10321,19,male,public,post graduate,1.5,80.5,yes,<15 min,yes,57.9,51.7,42.0,45.0
2181,18,male,private,graduate,3.1,71.9,yes,15-30 min,yes,53.6,38.1,42.9,50.8
4893,14,other,public,graduate,3.2,96.8,no,15-30 min,no,84.6,65.7,67.5,71.3
7044,19,other,public,no formal,3.2,84.2,yes,<15 min,no,45.3,54.6,41.5,59.2
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,43.6,78.1,50.4,54.2
6328,18,other,private,phd,0.5,83.0,yes,>60 min,no,34.9,35.1,44.4,37.5
3473,18,female,private,post graduate,3.8,87.3,yes,15-30 min,yes,61.9,60.2,51.1,60.5
5450,15,other,public,phd,5.6,84.5,yes,>60 min,yes,100.0,79.5,74.8,85.9
2833,15,other,public,graduate,3.8,65.2,yes,30-60 min,no,62.0,58.6,59.5,56.2
3580,14,male,public,no formal,1.4,50.4,yes,>60 min,no,25.3,49.7,18.3,35.5
5972,15,female,public,high school,6.9,56.4,yes,>60 min,yes,72.4,80.0,81.5,80.8
11224,18,male,private,diploma,1.5,65.7,yes,>60 min,no,41.9,42.6,50.1,34.1
4165,18,other,private,graduate,8.0,79.7,yes,<15 min,yes,100.0,86.9,89.4,95.6
10786,19,male,public,graduate,3.9,50.1,yes,30-60 min,no,54.3,63.9,47.0,44.4
7942,19,female,public,no formal,4.3,54.3,yes,>60 min,no,44.0,40.9,55.0,50.7
14389,16,other,public,phd,7.9,81.4,yes,<15 min,no,88.5,87.4,85.0,88.8
5570,15,male,public,diploma,7.2,50.6,yes,15-30 min,yes,86.4,78.4,78.6,83.0
4301,15,male,private,post graduate,1.3,61.5,yes,<15 min,no,21.9,43.0,25.0,34.9
6270,18,female,private,post graduate,8.0,75.4,yes,<15 min,yes,82.2,100.0,100.0,100.0
3819,17,other,private,high school,4.0,80.4,yes,15-30 min,yes,53.7,75.4,64.1,70.6
12331,19,female,public,diploma,3.2,58.1,yes,30-60 min,no,33.0,52.9,52.5,49.0
12016,19,other,private,diploma,5.5,60.5,yes,15-30 min,no,72.8,58.6,71.2,64.7
12235,18,female,public,diploma,1.3,82.1,yes,<15 min,no,39.9,32.2,37.1,33.8
1907,15,male,private,high school,0.6,86.4,no,>60 min,yes,47.4,34.3,44.4,43.6
6255,15,other,public,high school,6.4,58.7,no,15-30 min,no,75.9,77.4,70.4,73.9
761,15,male,private,no formal,2.2,83.9,no,>60 min,no,44.1,55.5,40.4,51.2
7831,15,male,public,post graduate,4.5,70.2,yes,>60 min,yes,47.9,70.7,61.0,65.8
7351,18,female,private,no formal,3.6,95.0,yes,>60 min,no,81.8,67.6,74.9,71.5
6239,19,male,private,graduate,2.2,77.4,yes,15-30 min,yes,83.0,45.4,38.3,50.3
6091,15,other,public,graduate,3.6,88.7,yes,<15 min,no,48.4,75.4,77.5,72.2
11638,16,other,private,high school,0.8,94.7,yes,<15 min,no,33.8,48.6,40.7,42.8
6032,18,male,private,high school,3.4,90.8,yes,>60 min,yes,85.3,65.4,93.0,68.1
7688,17,male,public,graduate,5.1,52.1,yes,<15 min,yes,72.5,46.0,54.9,62.7
9092,15,other,private,diploma,5.5,81.8,yes,<15 min,no,64.9,87.4,67.6,78.6
12648,14,other,public,phd,6.0,68.3,yes,>60 min,yes,75.9,83.2,67.0,76.9
11140,19,female,private,phd,6.8,78.6,yes,<15 min,no,90.5,59.3,85.2,78.0
9912,15,other,private,phd,2.8,81.0,yes,>60 min,no,53.2,58.7,52.6,51.1
8473,16,male,private,post graduate,4.2,64.2,yes,30-60 min,yes,70.1,66.3,58.1,68.2
11459,15,male,public,phd,3.2,66.3,yes,30-60 min,no,46.9,70.9,32.6,52.8
1888,16,female,private,high school,4.4,57.9,no,>60 min,no,50.7,51.2,52.8,53.1
3267,18,male,private,graduate,1.2,54.2,yes,>60 min,no,20.2,34.3,52.1,30.1
667,17,female,public,phd,2.1,90.1,yes,15-30 min,yes,49.3,52.3,55.4,59.3
4189,14,other,public,post graduate,5.6,70.0,yes,<15 min,yes,77.3,100.0,89.3,80.3
672,17,female,public,high school,2.2,74.8,yes,<15 min,no,54.2,36.3,34.1,39.2
10162,15,male,private,phd,7.8,69.6,yes,>60 min,yes,98.5,100.0,100.0,96.3
12349,18,male,private,graduate,6.4,60.3,yes,>60 min,yes,66.7,74.5,73.3,79.2
6778,16,female,private,no formal,7.5,56.0,no,30-60 min,no,94.1,87.9,99.9,78.3
11315,18,female,public,high school,4.6,78.6,yes,<15 min,yes,71.1,79.6,71.3,76.4
7571,18,other,private,diploma,1.6,69.8,yes,<15 min,no,55.7,52.4,53.6,44.6
7957,18,other,private,diploma,6.9,80.9,yes,>60 min,yes,82.7,69.1,91.5,80.7
5125,14,other,public,graduate,2.4,61.3,yes,15-30 min,yes,29.9,26.1,49.3,45.3
5586,18,other,public,diploma,7.6,64.3,yes,>60 min,yes,81.7,93.2,93.5,86.0
12892,14,other,private,high school,7.5,66.9,yes,>60 min,yes,100.0,85.5,100.0,90.3
4778,18,male,private,high school,5.6,89.5,yes,<15 min,yes,71.8,86.8,83.0,82.0
3901,17,male,public,diploma,1.6,99.9,no,15-30 min,yes,58.4,59.8,62.7,52.5
6678,15,male,private,diploma,2.3,74.7,yes,30-60 min,no,38.7,39.7,49.0,38.4
13717,17,male,public,diploma,3.6,64.1,yes,15-30 min,no,55.2,36.6,42.1,50.1
6982,17,female,public,post graduate,5.5,98.7,yes,<15 min,yes,85.3,75.9,86.4,79.7
14981,15,female,public,phd,6.4,58.3,yes,>60 min,yes,79.2,97.5,83.0,84.2
6377,14,other,public,diploma,5.2,56.6,yes,15-30 min,yes,64.9,76.4,59.5,66.7
524,18,other,private,phd,7.8,82.2,yes,30-60 min,no,85.5,75.6,86.4,91.1
2394,15,male,private,graduate,3.3,95.7,yes,15-30 min,no,84.8,78.6,73.5,68.0
11310,15,other,private,diploma,2.4,56.7,yes,15-30 min,yes,28.5,38.5,36.7,31.9
2594,14,female,public,graduate,6.2,86.1,yes,<15 min,yes,89.2,96.1,81.2,87.9
10161,19,other,public,no formal,7.5,59.7,yes,30-60 min,yes,67.5,78.6,84.3,83.6
13390,16,other,public,phd,0.6,51.1,yes,>60 min,yes,12.0,18.4,28.2,20.0
9946,15,male,private,post graduate,1.6,88.4,yes,15-30 min,no,69.0,45.4,38.7,48.7
14125,14,other,private,post graduate,2.4,86.5,no,15-30 min,yes,54.4,70.5,49.0,57.4
7241,17,female,public,post graduate,1.5,75.7,yes,>60 min,yes,44.2,41.9,48.6,38.2
6938,15,female,private,high school,7.6,87.6,yes,<15 min,no,92.3,80.6,93.3,91.3
10489,19,other,public,graduate,3.8,65.9,yes,>60 min,yes,48.7,48.0,79.7,62.7
6191,19,male,private,phd,2.0,52.9,yes,30-60 min,no,25.0,35.8,29.3,41.0
5241,16,male,public,high school,7.4,69.5,yes,>60 min,no,82.4,90.6,86.4,90.4
10454,14,other,private,phd,2.4,88.9,yes,15-30 min,yes,47.6,57.0,63.5,54.7
10479,17,other,public,high school,1.9,95.5,yes,>60 min,no,43.3,54.3,48.6,58.5
13368,18,male,private,graduate,0.9,63.0,no,<15 min,no,12.3,17.9,26.7,32.5
6494,16,female,private,phd,5.3,54.9,yes,<15 min,yes,64.5,87.1,65.0,68.7
12395,17,female,private,post graduate,7.4,55.3,yes,30-60 min,no,78.9,65.8,77.9,76.9
2879,19,male,private,graduate,6.3,89.7,yes,<15 min,no,86.6,82.4,89.3,94.7
4144,16,female,public,no formal,5.0,96.4,no,30-60 min,no,78.7,76.1,67.7,75.2
3645,19,female,private,high school,3.8,71.3,no,>60 min,no,85.1,65.4,67.8,68.6
4433,19,male,private,post graduate,2.8,53.2,yes,>60 min,yes,43.1,55.9,49.9,53.4
13338,15,female,public,graduate,1.2,68.0,yes,>60 min,yes,52.4,49.5,38.7,40.0
13569,17,other,public,phd,7.0,84.6,yes,30-60 min,no,99.1,97.3,100.0,92.2
10248,17,female,private,high school,6.7,64.5,no,<15 min,yes,88.3,64.5,58.7,70.7
12913,18,other,private,diploma,0.7,95.0,no,30-60 min,no,18.0,55.3,35.2,35.1
14179,19,male,public,no formal,1.0,90.4,yes,<15 min,no,39.8,46.3,28.2,40.7
1277,17,female,public,high school,5.0,98.1,no,>60 min,no,99.3,70.3,58.6,69.5
5812,17,male,public,diploma,6.7,78.1,yes,>60 min,yes,79.9,89.9,59.8,78.2
10959,17,male,public,no formal,5.5,78.6,yes,15-30 min,no,70.0,79.5,75.7,75.9
303,14,other,public,graduate,4.7,63.2,yes,15-30 min,no,49.6,80.9,62.2,60.2
639,18,other,public,no formal,2.4,83.6,yes,15-30 min,no,59.1,45.8,52.1,59.2
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,39.3,25.2,39.2,39.5
13014,19,other,public,phd,7.2,76.6,yes,>60 min,yes,100.0,91.7,89.2,97.3
8718,16,female,private,phd,2.9,65.4,yes,15-30 min,no,39.3,33.1,42.3,40.5
12762,18,other,private,diploma,2.8,76.8,yes,>60 min,yes,60.1,57.4,58.7,62.7
12316,14,female,private,graduate,1.1,91.3,yes,15-30 min,no,49.1,58.7,40.2,40.2
8151,18,other,public,diploma,3.2,73.7,yes,<15 min,yes,36.1,51.4,62.9,60.8
2126,15,other,private,diploma,7.6,87.2,yes,30-60 min,yes,94.3,100.0,89.8,100.0
11480,16,male,public,graduate,2.2,69.2,yes,15-30 min,yes,56.5,64.7,54.4,53.4
365,14,female,private,graduate,6.1,97.4,yes,<15 min,no,74.6,79.5,62.7,79.7
6810,19,male,public,diploma,7.9,59.3,yes,>60 min,no,100.0,82.3,79.0,86.8
4622,19,male,private,phd,4.6,86.3,yes,15-30 min,no,65.9,71.9,72.5,73.7
13624,15,male,public,no formal,7.0,60.0,yes,15-30 min,yes,85.4,93.3,88.8,88.9
13171,18,female,public,phd,3.8,53.2,yes,15-30 min,no,43.0,50.5,49.9,43.4
5127,15,female,private,high school,4.1,96.0,yes,>60 min,no,65.2,76.5,77.9,72.1
5123,17,male,private,no formal,6.4,68.9,no,30-60 min,no,86.5,83.6,78.2,83.8
1647,16,other,public,no formal,4.1,73.9,yes,15-30 min,yes,70.1,76.1,45.4,63.2
919,15,male,private,diploma,7.7,76.3,no,<15 min,yes,100.0,93.2,100.0,93.8
2798,17,male,private,high school,4.5,59.5,yes,15-30 min,no,69.3,73.8,52.1,60.1
6507,19,female,private,diploma,0.9,95.4,yes,>60 min,yes,38.5,43.8,36.0,45.6
5871,18,female,private,no formal,7.5,93.2,yes,30-60 min,no,100.0,100.0,99.4,98.2
1532,14,other,public,no formal,1.3,64.7,no,<15 min,no,20.9,19.6,28.0,26.8
8173,15,female,public,post graduate,4.2,57.8,yes,>60 min,yes,51.0,51.4,50.6,47.1
3346,18,male,public,graduate,2.4,78.5,yes,>60 min,yes,60.5,46.5,51.8,44.7
7674,18,male,public,post graduate,6.5,72.6,yes,15-30 min,no,61.8,61.1,72.7,73.0
6950,17,female,private,no formal,4.0,95.5,yes,>60 min,yes,53.6,52.7,57.8,64.0
6883,18,male,public,post graduate,0.9,54.3,yes,>60 min,no,44.2,41.0,49.5,37.5
1907,15,male,private,high school,0.6,86.4,no,>60 min,yes,47.4,34.3,44.4,43.6
3087,15,other,public,diploma,1.3,71.5,yes,15-30 min,no,49.0,42.2,37.2,47.7
13504,15,male,public,diploma,3.2,50.4,yes,<15 min,yes,47.3,31.2,50.8,43.6
8153,16,other,private,no formal,5.8,79.8,yes,15-30 min,no,72.1,78.4,95.2,81.9
5751,19,other,private,no formal,4.9,82.0,no,15-30 min,yes,61.1,89.6,65.0,79.8
12773,17,female,public,high school,2.5,80.5,yes,>60 min,no,76.6,46.6,56.5,59.0
10268,16,female,public,phd,1.8,80.7,yes,>60 min,no,48.5,31.3,47.3,42.3
8906,17,male,private,post graduate,2.6,97.0,yes,<15 min,no,50.6,60.4,77.0,61.5
1063,14,other,public,no formal,5.8,98.0,yes,30-60 min,yes,88.4,60.5,93.3,81.4
1977,19,male,private,phd,5.4,82.3,yes,<15 min,no,85.9,89.5,70.3,84.8
1297,15,male,public,graduate,1.5,86.3,no,15-30 min,yes,38.7,31.6,68.4,53.3
13543,14,other,public,diploma,7.9,88.5,yes,<15 min,no,100.0,99.3,99.5,100.0
6230,16,female,public,phd,1.9,67.6,no,30-60 min,yes,18.3,15.6,33.4,33.0
7642,18,female,public,phd,2.1,95.4,yes,15-30 min,no,48.5,45.8,49.2,48.5
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,62.7,52.9,52.8,53.1
4633,15,male,public,diploma,7.3,85.3,yes,15-30 min,yes,80.2,87.5,100.0,86.7
6289,15,female,private,high school,4.8,54.4,yes,15-30 min,yes,77.7,48.2,68.3,57.6
3597,16,male,public,diploma,7.2,57.1,yes,15-30 min,no,99.6,65.9,85.1,77.3
11476,18,other,public,phd,4.0,91.8,yes,<15 min,no,59.2,55.4,59.5,60.9
6169,18,male,public,post graduate,0.7,57.3,yes,15-30 min,no,60.8,35.9,51.8,32.6
9796,17,female,private,diploma,7.3,74.6,yes,>60 min,yes,96.1,79.9,79.6,89.7
7562,14,male,private,phd,6.9,52.2,yes,>60 min,yes,50.2,89.1,82.3,79.9
8259,17,female,private,post graduate,3.2,59.4,no,30-60 min,no,81.7,59.0,60.6,59.2
233,14,female,public,no formal,1.3,85.2,yes,30-60 min,yes,39.8,46.2,50.7,39.7
10349,18,other,private,post graduate,7.2,67.8,yes,>60 min,yes,70.3,88.2,91.2,81.9
9362,19,male,public,no formal,1.8,56.7,yes,<15 min,yes,37.8,46.8,49.3,40.5
10351,19,male,private,post graduate,6.0,67.6,yes,>60 min,no,86.8,68.3,66.5,69.2
6372,14,female,public,diploma,6.8,73.7,yes,>60 min,yes,81.4,82.0,92.7,92.8
4207,19,other,private,high school,3.4,87.7,yes,30-60 min,no,64.1,77.3,59.3,66.6
9686,15,male,private,diploma,4.9,83.4,no,15-30 min,no,62.9,55.4,63.7,64.0
14370,14,female,private,diploma,7.4,52.1,yes,15-30 min,no,73.2,72.5,69.4,76.3
12911,19,female,private,diploma,7.4,85.4,yes,<15 min,yes,85.0,92.3,100.0,100.0
7944,14,female,public,phd,2.1,89.3,yes,<15 min,no,60.8,60.4,59.8,59.4
12200,14,female,private,diploma,6.7,64.8,yes,15-30 min,yes,100.0,95.8,86.6,86.8
6892,16,other,public,high school,1.3,94.7,yes,>60 min,yes,65.3,62.0,68.4,45.5
6739,16,other,public,graduate,7.1,61.9,no,30-60 min,no,90.7,91.8,76.8,79.7
2473,16,other,public,post graduate,7.7,85.2,yes,>60 min,no,91.5,94.1,87.4,97.0
10853,19,other,private,graduate,6.2,53.0,yes,>60 min,yes,80.3,68.7,94.8,76.1
13830,18,male,public,graduate,1.2,77.0,yes,>60 min,yes,48.8,31.4,38.1,39.5
2740,16,female,public,graduate,6.8,85.7,yes,30-60 min,no,77.0,93.1,63.9,82.9
5402,18,female,private,no formal,3.7,71.3,no,15-30 min,no,46.4,41.4,52.6,48.1
1762,16,female,public,graduate,1.2,98.6,yes,30-60 min,yes,77.5,51.6,61.9,55.4
11707,19,other,private,no formal,2.6,99.2,yes,15-30 min,no,54.1,53.4,53.9,51.0
10168,14,other,public,no formal,5.5,58.8,no,<15 min,no,76.9,76.6,67.4,72.7
10555,19,female,public,post graduate,2.2,51.6,yes,15-30 min,no,39.9,37.8,39.8,35.9
877,17,male,public,phd,6.2,79.8,yes,>60 min,yes,97.2,92.4,94.6,81.6
14278,18,male,private,diploma,0.5,77.0,yes,<15 min,yes,21.5,40.9,39.5,28.7
3813,18,other,public,diploma,7.8,51.9,yes,30-60 min,no,94.5,90.9,91.4,80.8
11641,17,male,public,diploma,4.7,73.7,yes,>60 min,yes,57.0,63.1,60.8,62.3
9505,14,other,public,post graduate,6.8,96.0,yes,15-30 min,yes,85.3,87.4,100.0,89.3
1461,18,male,public,no formal,3.4,55.2,yes,15-30 min,no,63.7,55.7,51.0,49.6
10902,14,female,private,diploma,0.8,80.5,yes,<15 min,yes,26.2,34.2,32.2,39.5
10517,18,female,public,phd,5.8,62.2,yes,<15 min,yes,73.2,89.0,76.7,72.0
1734,19,male,public,phd,5.0,95.2,yes,>60 min,no,67.6,66.8,71.8,73.1
1606,19,male,public,high school,5.0,98.7,yes,>60 min,yes,97.4,75.8,95.6,86.7
5623,15,female,private,diploma,6.5,96.7,yes,<15 min,no,92.4,100.0,100.0,100.0
6768,17,other,private,phd,6.6,97.2,yes,15-30 min,no,100.0,100.0,92.9,98.3
10756,18,male,private,phd,3.6,64.8,yes,>60 min,yes,49.4,43.6,55.5,54.9
11614,18,other,private,phd,4.2,91.9,yes,>60 min,yes,60.3,55.4,59.8,64.1
6987,17,female,public,high school,3.0,68.4,yes,15-30 min,yes,46.8,59.0,38.3,51.5
3518,19,female,public,high school,4.8,92.0,yes,15-30 min,yes,76.1,81.0,70.4,78.1
10590,18,male,public,high school,6.5,69.6,yes,>60 min,yes,91.9,70.6,71.4,79.0
13919,15,male,public,high school,5.1,59.1,no,<15 min,no,54.1,79.5,63.2,58.0
3736,15,other,private,post graduate,5.1,53.4,yes,>60 min,yes,44.5,60.6,35.6,53.6
11063,16,male,public,phd,5.9,55.7,yes,<15 min,yes,68.4,70.8,59.1,66.1
9353,14,female,private,graduate,0.9,95.3,yes,30-60 min,no,54.4,36.0,50.7,44.9
13047,19,other,private,graduate,3.6,79.5,yes,>60 min,no,77.2,63.5,61.5,61.3
8435,16,female,private,no formal,6.3,94.7,no,<15 min,yes,76.2,100.0,100.0,96.9
2591,14,female,private,post graduate,3.6,99.1,yes,<15 min,no,68.0,54.9,70.7,66.5
1064,18,female,private,post graduate,0.7,95.2,no,30-60 min,yes,47.3,56.4,33.1,43.1
4325,19,female,public,post graduate,4.6,94.5,yes,<15 min,yes,88.1,58.2,84.8,68.2
10788,16,male,private,post graduate,2.0,97.4,no,>60 min,no,40.9,68.2,46.2,55.0
9112,18,female,public,no formal,6.8,96.8,yes,>60 min,yes,96.9,82.7,71.0,88.0
5343,17,other,public,graduate,5.9,84.9,no,15-30 min,no,87.9,87.9,93.9,84.4
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,51.5,78.3,63.9,63.5
7490,14,other,public,diploma,4.8,62.3,yes,30-60 min,yes,47.6,36.9,54.8,59.1
8660,19,male,private,post graduate,5.7,77.5,no,<15 min,yes,67.0,74.4,52.3,67.8
14044,19,male,public,post graduate,2.6,97.0,yes,>60 min,yes,48.6,65.6,59.3,54.2
12363,19,male,public,no formal,2.6,67.9,yes,15-30 min,yes,42.5,42.0,50.5,50.3
8196,17,female,public,diploma,5.1,69.2,no,15-30 min,yes,70.7,57.6,62.8,69.5
5967,18,other,public,post graduate,5.4,96.5,yes,<15 min,no,100.0,91.4,80.0,85.8
8838,14,other,public,post graduate,3.2,74.4,yes,30-60 min,no,62.1,74.4,60.4,63.6
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,39.2,12.8,40.9,32.1
11121,15,male,public,post graduate,2.2,98.8,yes,<15 min,no,44.3,47.9,82.6,64.4
13918,16,female,public,high school,3.0,51.2,no,>60 min,no,34.6,27.4,46.7,41.9
2552,15,male,public,no formal,1.9,60.6,yes,>60 min,yes,37.8,50.6,38.5,40.2
14310,18,male,public,phd,7.2,78.3,yes,<15 min,no,74.1,61.0,75.8,79.2
13235,15,female,public,graduate,7.9,63.6,yes,30-60 min,no,82.3,74.8,83.9,86.7
14910,19,other,public,phd,7.2,88.8,yes,15-30 min,no,85.9,100.0,81.9,95.8
5561,16,female,private,no formal,4.6,71.6,yes,30-60 min,yes,55.8,60.0,74.1,64.7
4290,15,other,private,high school,7.0,59.0,yes,<15 min,no,76.7,84.9,95.7,85.3
847,14,other,public,diploma,1.2,91.2,yes,15-30 min,yes,35.3,49.1,50.9,40.4
10955,14,other,public,graduate,5.0,65.1,no,>60 min,yes,59.3,72.5,50.3,64.7
13704,16,other,private,high school,6.5,53.1,yes,<15 min,no,79.7,70.0,65.1,75.9
13747,14,female,public,graduate,2.9,91.6,yes,<15 min,no,43.6,50.4,59.8,55.5
